Variable Name,FieldOfStudyData1415_1516 datafile,FieldOfStudyData1516_1617 datafile,FieldOfStudyData1617_1718 datafile,FieldOfStudyData1718_1819 datafile,FieldOfStudyData1819_1920 datafile,FieldOfStudyData1920_2021 datafile,FieldOfStudyData2021_2122 datafile,FieldOfStudyData2122_2223 datafile,FieldOfStudyMostRecent datafile,,,,,,,,,,
IPEDSCOUNT2,AY2015-16 reported in IPEDS DCY2016-17,AY2016-17 reported in IPEDS DCY2017-18,AY2017-18 reported in IPEDS DCY2018-19,AY2018-19 reported in IPEDS DCY2019-20,AY2019-20 reported in IPEDS DCY2020-21,AY2020-21 reported in IPEDS DCY2021-22,AY2021-22 reported in IPEDS DCY2022-23,AY2022-23 reported in IPEDS DCY2023-24,AY2022-23 reported in IPEDS DCY2023-24,,,,,,,,,,
DEBT_ALL_STGP_ANY_N,"NSLDS pooled AY2014-15, AY2015-16 cohort","NSLDS pooled AY2015-16, AY2016-17 cohort","NSLDS pooled AY2016-17, AY2017-18 cohort","NSLDS pooled AY2017-18, AY2018-19 cohort","NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
DEBT_ALL_STGP_ANY_MEAN,"NSLDS pooled AY2014-15, AY2015-16 cohort","NSLDS pooled AY2015-16, AY2016-17 cohort","NSLDS pooled AY2016-17, AY2017-18 cohort","NSLDS pooled AY2017-18, AY2018-19 cohort","NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
DEBT_ALL_STGP_ANY_MDN,"NSLDS pooled AY2014-15, AY2015-16 cohort","NSLDS pooled AY2015-16, AY2016-17 cohort","NSLDS pooled AY2016-17, AY2017-18 cohort","NSLDS pooled AY2017-18, AY2018-19 cohort","NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
DEBT_ALL_STGP_EVAL_N,"NSLDS pooled AY2014-15, AY2015-16 cohort","NSLDS pooled AY2015-16, AY2016-17 cohort","NSLDS pooled AY2016-17, AY2017-18 cohort","NSLDS pooled AY2017-18, AY2018-19 cohort","NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
DEBT_ALL_STGP_EVAL_MEAN,"NSLDS pooled AY2014-15, AY2015-16 cohort","NSLDS pooled AY2015-16, AY2016-17 cohort","NSLDS pooled AY2016-17, AY2017-18 cohort","NSLDS pooled AY2017-18, AY2018-19 cohort","NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
DEBT_ALL_STGP_EVAL_MDN,"NSLDS pooled AY2014-15, AY2015-16 cohort","NSLDS pooled AY2015-16, AY2016-17 cohort","NSLDS pooled AY2016-17, AY2017-18 cohort","NSLDS pooled AY2017-18, AY2018-19 cohort","NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
DEBT_ALL_PP_ANY_N,"NSLDS pooled AY2014-15, AY2015-16 cohort","NSLDS pooled AY2015-16, AY2016-17 cohort","NSLDS pooled AY2016-17, AY2017-18 cohort","NSLDS pooled AY2017-18, AY2018-19 cohort","NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
DEBT_ALL_PP_ANY_MEAN,"NSLDS pooled AY2014-15, AY2015-16 cohort","NSLDS pooled AY2015-16, AY2016-17 cohort","NSLDS pooled AY2016-17, AY2017-18 cohort","NSLDS pooled AY2017-18, AY2018-19 cohort","NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
DEBT_ALL_PP_ANY_MDN,"NSLDS pooled AY2014-15, AY2015-16 cohort","NSLDS pooled AY2015-16, AY2016-17 cohort","NSLDS pooled AY2016-17, AY2017-18 cohort","NSLDS pooled AY2017-18, AY2018-19 cohort","NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
DEBT_ALL_PP_EVAL_N,"NSLDS pooled AY2014-15, AY2015-16 cohort","NSLDS pooled AY2015-16, AY2016-17 cohort","NSLDS pooled AY2016-17, AY2017-18 cohort","NSLDS pooled AY2017-18, AY2018-19 cohort","NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
DEBT_ALL_PP_EVAL_MEAN,"NSLDS pooled AY2014-15, AY2015-16 cohort","NSLDS pooled AY2015-16, AY2016-17 cohort","NSLDS pooled AY2016-17, AY2017-18 cohort","NSLDS pooled AY2017-18, AY2018-19 cohort","NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
DEBT_ALL_PP_EVAL_MDN,"NSLDS pooled AY2014-15, AY2015-16 cohort","NSLDS pooled AY2015-16, AY2016-17 cohort","NSLDS pooled AY2016-17, AY2017-18 cohort","NSLDS pooled AY2017-18, AY2018-19 cohort","NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
