Variable Name,FieldOfStudyData1415_1516 datafile,FieldOfStudyData1516_1617 datafile,FieldOfStudyData1617_1718 datafile,FieldOfStudyData1718_1819 datafile,FieldOfStudyData1819_1920 datafile,FieldOfStudyData1920_2021 datafile,FieldOfStudyData2021_2122 datafile,FieldOfStudyData2122_2223 datafile,FieldOfStudyMostRecent datafile,,,,,,,,,,
DEBT_PELL_PP_ANY_MDN,"NSLDS pooled AY2014-15, AY2015-16 cohort","NSLDS pooled AY2015-16, AY2016-17 cohort","NSLDS pooled AY2016-17, AY2017-18 cohort","NSLDS pooled AY2017-18, AY2018-19 cohort","NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
DEBT_PELL_PP_EVAL_N,"NSLDS pooled AY2014-15, AY2015-16 cohort","NSLDS pooled AY2015-16, AY2016-17 cohort","NSLDS pooled AY2016-17, AY2017-18 cohort","NSLDS pooled AY2017-18, AY2018-19 cohort","NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
DEBT_PELL_PP_EVAL_MEAN,"NSLDS pooled AY2014-15, AY2015-16 cohort","NSLDS pooled AY2015-16, AY2016-17 cohort","NSLDS pooled AY2016-17, AY2017-18 cohort","NSLDS pooled AY2017-18, AY2018-19 cohort","NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
DEBT_PELL_PP_EVAL_MDN,"NSLDS pooled AY2014-15, AY2015-16 cohort","NSLDS pooled AY2015-16, AY2016-17 cohort","NSLDS pooled AY2016-17, AY2017-18 cohort","NSLDS pooled AY2017-18, AY2018-19 cohort","NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
DEBT_NOPELL_STGP_ANY_N,"NSLDS pooled AY2014-15, AY2015-16 cohort","NSLDS pooled AY2015-16, AY2016-17 cohort","NSLDS pooled AY2016-17, AY2017-18 cohort","NSLDS pooled AY2017-18, AY2018-19 cohort","NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
DEBT_NOPELL_STGP_ANY_MEAN,"NSLDS pooled AY2014-15, AY2015-16 cohort","NSLDS pooled AY2015-16, AY2016-17 cohort","NSLDS pooled AY2016-17, AY2017-18 cohort","NSLDS pooled AY2017-18, AY2018-19 cohort","NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
DEBT_NOPELL_STGP_ANY_MDN,"NSLDS pooled AY2014-15, AY2015-16 cohort","NSLDS pooled AY2015-16, AY2016-17 cohort","NSLDS pooled AY2016-17, AY2017-18 cohort","NSLDS pooled AY2017-18, AY2018-19 cohort","NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
DEBT_NOPELL_STGP_EVAL_N,"NSLDS pooled AY2014-15, AY2015-16 cohort","NSLDS pooled AY2015-16, AY2016-17 cohort","NSLDS pooled AY2016-17, AY2017-18 cohort","NSLDS pooled AY2017-18, AY2018-19 cohort","NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
DEBT_NOPELL_STGP_EVAL_MEAN,"NSLDS pooled AY2014-15, AY2015-16 cohort","NSLDS pooled AY2015-16, AY2016-17 cohort","NSLDS pooled AY2016-17, AY2017-18 cohort","NSLDS pooled AY2017-18, AY2018-19 cohort","NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
DEBT_NOPELL_STGP_EVAL_MDN,"NSLDS pooled AY2014-15, AY2015-16 cohort","NSLDS pooled AY2015-16, AY2016-17 cohort","NSLDS pooled AY2016-17, AY2017-18 cohort","NSLDS pooled AY2017-18, AY2018-19 cohort","NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
DEBT_NOPELL_PP_ANY_N,"NSLDS pooled AY2014-15, AY2015-16 cohort","NSLDS pooled AY2015-16, AY2016-17 cohort","NSLDS pooled AY2016-17, AY2017-18 cohort","NSLDS pooled AY2017-18, AY2018-19 cohort","NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
DEBT_NOPELL_PP_ANY_MEAN,"NSLDS pooled AY2014-15, AY2015-16 cohort","NSLDS pooled AY2015-16, AY2016-17 cohort","NSLDS pooled AY2016-17, AY2017-18 cohort","NSLDS pooled AY2017-18, AY2018-19 cohort","NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
DEBT_NOPELL_PP_ANY_MDN,"NSLDS pooled AY2014-15, AY2015-16 cohort","NSLDS pooled AY2015-16, AY2016-17 cohort","NSLDS pooled AY2016-17, AY2017-18 cohort","NSLDS pooled AY2017-18, AY2018-19 cohort","NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
DEBT_NOPELL_PP_EVAL_N,"NSLDS pooled AY2014-15, AY2015-16 cohort","NSLDS pooled AY2015-16, AY2016-17 cohort","NSLDS pooled AY2016-17, AY2017-18 cohort","NSLDS pooled AY2017-18, AY2018-19 cohort","NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
DEBT_NOPELL_PP_EVAL_MEAN,"NSLDS pooled AY2014-15, AY2015-16 cohort","NSLDS pooled AY2015-16, AY2016-17 cohort","NSLDS pooled AY2016-17, AY2017-18 cohort","NSLDS pooled AY2017-18, AY2018-19 cohort","NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
DEBT_NOPELL_PP_EVAL_MDN,"NSLDS pooled AY2014-15, AY2015-16 cohort","NSLDS pooled AY2015-16, AY2016-17 cohort","NSLDS pooled AY2016-17, AY2017-18 cohort","NSLDS pooled AY2017-18, AY2018-19 cohort","NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
DEBT_ALL_PP_ANY_MDN10YRPAY,NA,NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
DEBT_ALL_PP_EVAL_MDN10YRPAY,NA,NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
DEBT_ALL_STGP_ANY_MDN10YRPAY,NA,NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
DEBT_ALL_STGP_EVAL_MDN10YRPAY,NA,NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",NA,NA,NA,"NSLDS pooled AY2018-19, AY2019-20 cohort",,,,,,,,,,
EARN_COUNT_NWNE_HI_1YR,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2016, CY2017","Treasury AY2015-16, AY2016-17 pooled earnings cohort measured in CY2017, CY2018","Treasury AY2016-17, AY2017-18 pooled earnings cohort measured in CY2018, CY2019",NA,NA,NA,NA,"Treasury AY2016-17, AY2017-18 pooled earnings cohort measured in CY2018, CY2019",,,,,,,,,,
EARN_CNTOVER150_HI_1YR,NA,NA,"Treasury AY2015-16, AY2016-17 pooled earnings cohort measured in CY2017, CY2018","Treasury AY2016-17, AY2017-18 pooled earnings cohort measured in CY2018, CY2019",NA,NA,NA,NA,"Treasury AY2016-17, AY2017-18 pooled earnings cohort measured in CY2018, CY2019",,,,,,,,,,
EARN_COUNT_WNE_HI_1YR,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2016, CY2017","Treasury AY2015-16, AY2016-17 pooled earnings cohort measured in CY2017, CY2018","Treasury AY2016-17, AY2017-18 pooled earnings cohort measured in CY2018, CY2019",NA,NA,NA,NA,"Treasury AY2016-17, AY2017-18 pooled earnings cohort measured in CY2018, CY2019",,,,,,,,,,
EARN_MDN_HI_1YR,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2016, CY2017, inflation adjusted to 2018 dollars","Treasury AY2015-16, AY2016-17 pooled earnings cohort measured in CY2017, CY2018, inflation adjusted to 2019 dollars","Treasury AY2016-17, AY2017-18 pooled earnings cohort measured in CY2018, CY2019, inflation adjusted to 2020 dollars",NA,NA,NA,NA,"Treasury AY2016-17, AY2017-18 pooled earnings cohort measured in CY2018, CY2019, inflation adjusted to 2020 dollars",,,,,,,,,,
EARN_COUNT_NWNE_HI_2YR,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2017, CY2018",NA,NA,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2017, CY2018",,,,,,,,,,
EARN_CNTOVER150_HI_2YR,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2017, CY2018",NA,NA,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2017, CY2018",,,,,,,,,,
EARN_COUNT_WNE_HI_2YR,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2017, CY2018",NA,NA,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2017, CY2018",,,,,,,,,,
EARN_MDN_HI_2YR,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2017, CY2018, inflation adjusted to 2019 dollars",NA,NA,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2017, CY2018, inflation adjusted to 2019 dollars",,,,,,,,,,
BBRR2_FED_COMP_N,NA,NA,"NSLDS AY2015-16, AY2016-17 pooled cohorts measured in 2017-18, 2018-19","NSLDS AY2016-17, AY2017-18 pooled cohorts measured in 2018-19, 2019-20",NA,NA,NA,NA,"NSLDS AY2016-17, AY2017-18 pooled cohorts measured in 2018-19, 2019-20",,,,,,,,,,
BBRR2_FED_COMP_DFLT,NA,NA,"NSLDS AY2015-16, AY2016-17 pooled cohorts measured in 2017-18, 2018-19","NSLDS AY2016-17, AY2017-18 pooled cohorts measured in 2018-19, 2019-20",NA,NA,NA,NA,"NSLDS AY2016-17, AY2017-18 pooled cohorts measured in 2018-19, 2019-20",,,,,,,,,,
BBRR2_FED_COMP_DLNQ,NA,NA,"NSLDS AY2015-16, AY2016-17 pooled cohorts measured in 2017-18, 2018-19","NSLDS AY2016-17, AY2017-18 pooled cohorts measured in 2018-19, 2019-20",NA,NA,NA,NA,"NSLDS AY2016-17, AY2017-18 pooled cohorts measured in 2018-19, 2019-20",,,,,,,,,,
BBRR2_FED_COMP_FBR,NA,NA,"NSLDS AY2015-16, AY2016-17 pooled cohorts measured in 2017-18, 2018-19","NSLDS AY2016-17, AY2017-18 pooled cohorts measured in 2018-19, 2019-20",NA,NA,NA,NA,"NSLDS AY2016-17, AY2017-18 pooled cohorts measured in 2018-19, 2019-20",,,,,,,,,,
BBRR2_FED_COMP_DFR,NA,NA,"NSLDS AY2015-16, AY2016-17 pooled cohorts measured in 2017-18, 2018-19","NSLDS AY2016-17, AY2017-18 pooled cohorts measured in 2018-19, 2019-20",NA,NA,NA,NA,"NSLDS AY2016-17, AY2017-18 pooled cohorts measured in 2018-19, 2019-20",,,,,,,,,,
BBRR2_FED_COMP_NOPROG,NA,NA,"NSLDS AY2015-16, AY2016-17 pooled cohorts measured in 2017-18, 2018-19","NSLDS AY2016-17, AY2017-18 pooled cohorts measured in 2018-19, 2019-20",NA,NA,NA,NA,"NSLDS AY2016-17, AY2017-18 pooled cohorts measured in 2018-19, 2019-20",,,,,,,,,,
BBRR2_FED_COMP_MAKEPROG,NA,NA,"NSLDS AY2015-16, AY2016-17 pooled cohorts measured in 2017-18, 2018-19","NSLDS AY2016-17, AY2017-18 pooled cohorts measured in 2018-19, 2019-20",NA,NA,NA,NA,"NSLDS AY2016-17, AY2017-18 pooled cohorts measured in 2018-19, 2019-20",,,,,,,,,,
BBRR2_FED_COMP_PAIDINFULL,NA,NA,"NSLDS AY2015-16, AY2016-17 pooled cohorts measured in 2017-18, 2018-19","NSLDS AY2016-17, AY2017-18 pooled cohorts measured in 2018-19, 2019-20",NA,NA,NA,NA,"NSLDS AY2016-17, AY2017-18 pooled cohorts measured in 2018-19, 2019-20",,,,,,,,,,
BBRR2_FED_COMP_DISCHARGE,NA,NA,"NSLDS AY2015-16, AY2016-17 pooled cohorts measured in 2017-18, 2018-19","NSLDS AY2016-17, AY2017-18 pooled cohorts measured in 2018-19, 2019-20",NA,NA,NA,NA,"NSLDS AY2016-17, AY2017-18 pooled cohorts measured in 2018-19, 2019-20",,,,,,,,,,
BBRR3_FED_COMP_N,NA,NA,NA,"NSLDS AY2015-16, AY2016-17 pooled cohorts measured in 2018-19, 2019-20",NA,NA,NA,NA,"NSLDS AY2015-16, AY2016-17 pooled cohorts measured in 2018-19, 2019-20",,,,,,,,,,
BBRR3_FED_COMP_DFLT,NA,NA,NA,"NSLDS AY2015-16, AY2016-17 pooled cohorts measured in 2018-19, 2019-20",NA,NA,NA,NA,"NSLDS AY2015-16, AY2016-17 pooled cohorts measured in 2018-19, 2019-20",,,,,,,,,,
BBRR3_FED_COMP_DLNQ,NA,NA,NA,"NSLDS AY2015-16, AY2016-17 pooled cohorts measured in 2018-19, 2019-20",NA,NA,NA,NA,"NSLDS AY2015-16, AY2016-17 pooled cohorts measured in 2018-19, 2019-20",,,,,,,,,,
BBRR3_FED_COMP_FBR,NA,NA,NA,"NSLDS AY2015-16, AY2016-17 pooled cohorts measured in 2018-19, 2019-20",NA,NA,NA,NA,"NSLDS AY2015-16, AY2016-17 pooled cohorts measured in 2018-19, 2019-20",,,,,,,,,,
BBRR3_FED_COMP_DFR,NA,NA,NA,"NSLDS AY2015-16, AY2016-17 pooled cohorts measured in 2018-19, 2019-20",NA,NA,NA,NA,"NSLDS AY2015-16, AY2016-17 pooled cohorts measured in 2018-19, 2019-20",,,,,,,,,,
BBRR3_FED_COMP_NOPROG,NA,NA,NA,"NSLDS AY2015-16, AY2016-17 pooled cohorts measured in 2018-19, 2019-20",NA,NA,NA,NA,"NSLDS AY2015-16, AY2016-17 pooled cohorts measured in 2018-19, 2019-20",,,,,,,,,,
BBRR3_FED_COMP_MAKEPROG,NA,NA,NA,"NSLDS AY2015-16, AY2016-17 pooled cohorts measured in 2018-19, 2019-20",NA,NA,NA,NA,"NSLDS AY2015-16, AY2016-17 pooled cohorts measured in 2018-19, 2019-20",,,,,,,,,,
BBRR3_FED_COMP_PAIDINFULL,NA,NA,NA,"NSLDS AY2015-16, AY2016-17 pooled cohorts measured in 2018-19, 2019-20",NA,NA,NA,NA,"NSLDS AY2015-16, AY2016-17 pooled cohorts measured in 2018-19, 2019-20",,,,,,,,,,
BBRR3_FED_COMP_DISCHARGE,NA,NA,NA,"NSLDS AY2015-16, AY2016-17 pooled cohorts measured in 2018-19, 2019-20",NA,NA,NA,NA,"NSLDS AY2015-16, AY2016-17 pooled cohorts measured in 2018-19, 2019-20",,,,,,,,,,
EARN_COUNT_PELL_WNE_1YR,NA,NA,NA,"Treasury AY2016-17, AY2017-18 pooled earnings cohort measured in CY2018, CY2019","Treasury AY2017-18, AY2018-19 pooled earnings cohort measured in CY2019, CY2020","Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021",NA,NA,"Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021",,,,,,,,,,
EARN_PELL_WNE_MDN_1YR,NA,NA,NA,"Treasury AY2016-17, AY2017-18 pooled earnings cohort measured in CY2018, CY2019, inflation adjusted to 2020 dollars","Treasury AY2017-18, AY2018-19 pooled earnings cohort measured in CY2019, CY2020, inflation adjusted to 2021 dollars","Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021, inflation adjusted to 2022 dollars",NA,NA,"Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021, inflation adjusted to 2022 dollars",,,,,,,,,,
EARN_COUNT_NOPELL_WNE_1YR,NA,NA,NA,"Treasury AY2016-17, AY2017-18 pooled earnings cohort measured in CY2018, CY2019","Treasury AY2017-18, AY2018-19 pooled earnings cohort measured in CY2019, CY2020","Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021",NA,NA,"Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021",,,,,,,,,,
EARN_NOPELL_WNE_MDN_1YR,NA,NA,NA,"Treasury AY2016-17, AY2017-18 pooled earnings cohort measured in CY2018, CY2019, inflation adjusted to 2020 dollars","Treasury AY2017-18, AY2018-19 pooled earnings cohort measured in CY2019, CY2020, inflation adjusted to 2021 dollars","Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021, inflation adjusted to 2022 dollars",NA,NA,"Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021, inflation adjusted to 2022 dollars",,,,,,,,,,
EARN_COUNT_MALE_WNE_1YR,NA,NA,NA,"Treasury AY2016-17, AY2017-18 pooled earnings cohort measured in CY2018, CY2019","Treasury AY2017-18, AY2018-19 pooled earnings cohort measured in CY2019, CY2020","Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021",NA,NA,"Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021",,,,,,,,,,
EARN_MALE_WNE_MDN_1YR,NA,NA,NA,"Treasury AY2016-17, AY2017-18 pooled earnings cohort measured in CY2018, CY2019, inflation adjusted to 2020 dollars","Treasury AY2017-18, AY2018-19 pooled earnings cohort measured in CY2019, CY2020, inflation adjusted to 2021 dollars","Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021, inflation adjusted to 2022 dollars",NA,NA,"Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021, inflation adjusted to 2022 dollars",,,,,,,,,,
EARN_COUNT_NOMALE_WNE_1YR,NA,NA,NA,"Treasury AY2016-17, AY2017-18 pooled earnings cohort measured in CY2018, CY2019","Treasury AY2017-18, AY2018-19 pooled earnings cohort measured in CY2019, CY2020","Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021",NA,NA,"Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021",,,,,,,,,,
EARN_NOMALE_WNE_MDN_1YR,NA,NA,NA,"Treasury AY2016-17, AY2017-18 pooled earnings cohort measured in CY2018, CY2019, inflation adjusted to 2020 dollars","Treasury AY2017-18, AY2018-19 pooled earnings cohort measured in CY2019, CY2020, inflation adjusted to 2021 dollars","Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021, inflation adjusted to 2022 dollars",NA,NA,"Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021, inflation adjusted to 2022 dollars",,,,,,,,,,
EARN_COUNT_NE_3YR,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2018, CY2019",NA,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2018, CY2019",,,,,,,,,,
EARN_NE_MDN_3YR,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2018, CY2019, inflation adjusted to 2020 dollars",NA,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2018, CY2019, inflation adjusted to 2020 dollars",,,,,,,,,,
EARN_COUNT_WNE_3YR,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2018, CY2019",NA,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2018, CY2019",,,,,,,,,,
EARN_CNTOVER150_3YR,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2018, CY2019",NA,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2018, CY2019",,,,,,,,,,
EARN_COUNT_PELL_NE_3YR,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2018, CY2019",NA,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2018, CY2019",,,,,,,,,,
EARN_PELL_NE_MDN_3YR,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2018, CY2019, inflation adjusted to 2020 dollars",NA,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2018, CY2019, inflation adjusted to 2020 dollars",,,,,,,,,,
EARN_COUNT_NOPELL_NE_3YR,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2018, CY2019",NA,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2018, CY2019",,,,,,,,,,
EARN_NOPELL_NE_MDN_3YR,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2018, CY2019, inflation adjusted to 2020 dollars",NA,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2018, CY2019, inflation adjusted to 2020 dollars",,,,,,,,,,
EARN_COUNT_MALE_NE_3YR,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2018, CY2019",NA,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2018, CY2019",,,,,,,,,,
EARN_MALE_NE_MDN_3YR,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2018, CY2019, inflation adjusted to 2020 dollars",NA,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2018, CY2019, inflation adjusted to 2020 dollars",,,,,,,,,,
EARN_COUNT_NOMALE_NE_3YR,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2018, CY2019",NA,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2018, CY2019",,,,,,,,,,
EARN_NOMALE_NE_MDN_3YR,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2018, CY2019, inflation adjusted to 2020 dollars",NA,NA,NA,NA,"Treasury AY2014-15, AY2015-16 pooled earnings cohort measured in CY2018, CY2019, inflation adjusted to 2020 dollars",,,,,,,,,,
EARN_COUNT_NWNE_1YR,NA,NA,NA,NA,"Treasury AY2017-18, AY2018-19 pooled earnings cohort measured in CY2019, CY2020","Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021",NA,NA,"Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021",,,,,,,,,,
EARN_COUNT_WNE_1YR,NA,NA,NA,NA,"Treasury AY2017-18, AY2018-19 pooled earnings cohort measured in CY2019, CY2020","Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021",NA,NA,"Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021",,,,,,,,,,
EARN_MDN_1YR,NA,NA,NA,NA,"Treasury AY2017-18, AY2018-19 pooled earnings cohort measured in CY2019, CY2020, inflation adjusted to 2021 dollars","Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021, inflation adjusted to 2022 dollars",NA,NA,"Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021, inflation adjusted to 2022 dollars",,,,,,,,,,
EARN_GT_THRESHOLD_1YR,NA,NA,NA,NA,"Treasury AY2017-18, AY2018-19 pooled earnings cohort measured in CY2019, CY2020","Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021",NA,NA,"Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021",,,,,,,,,,
EARN_COUNT_HIGH_CRED_1YR,NA,NA,NA,NA,"Treasury AY2017-18, AY2018-19 pooled earnings cohort measured in CY2019, CY2020","Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021",NA,NA,"Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021",,,,,,,,,,
EARN_IN_STATE_1YR,NA,NA,NA,NA,"Treasury AY2017-18, AY2018-19 pooled earnings cohort measured in CY2019, CY2020","Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021",NA,NA,"Treasury AY2018-19, AY2019-20 pooled earnings cohort measured in CY2020, CY2021",,,,,,,,,,
EARN_COUNT_NWNE_4YR,NA,NA,NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2019, CY2020",NA,NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2019, CY2020",,,,,,,,,,
EARN_COUNT_WNE_4YR,NA,NA,NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2019, CY2020",NA,NA,"Treasury AY2017-2018, AY2018-2019 pooled earnings cohort measured in CY2022, CY2023","Treasury AY2017-2018, AY2018-2019 pooled earnings cohort measured in CY2022, CY2023",,,,,,,,,,
EARN_MDN_4YR,NA,NA,NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2019, CY2020, inflation adjusted to 2021 dollars",NA,NA,"Treasury AY2017-2018, AY2018-2019 pooled earnings cohort measured in CY2022, CY2023, inflation adjusted to 2024 dollars","Treasury AY2017-2018, AY2018-2019 pooled earnings cohort measured in CY2022, CY2023, inflation adjusted to 2024 dollars",,,,,,,,,,
EARN_GT_THRESHOLD_4YR,NA,NA,NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2019, CY2020",NA,NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2019, CY2020",,,,,,,,,,
EARN_COUNT_PELL_WNE_4YR,NA,NA,NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2019, CY2020",NA,NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2019, CY2020",,,,,,,,,,
EARN_PELL_WNE_MDN_4YR,NA,NA,NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2019, CY2020, inflation adjusted to 2021 dollars",NA,NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2019, CY2020, inflation adjusted to 2021 dollars",,,,,,,,,,
EARN_COUNT_NOPELL_WNE_4YR,NA,NA,NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2019, CY2020",NA,NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2019, CY2020",,,,,,,,,,
EARN_NOPELL_WNE_MDN_4YR,NA,NA,NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2019, CY2020, inflation adjusted to 2021 dollars",NA,NA,NA,"Treasury AY2014-2015, AY2015-2016 pooled earnings cohort measured in CY2019, CY2020, inflation adjusted to 2021 dollars",,,,,,,,,,
